index, name, representative, domain, area, website,
"41"," 아시아포커스"," 이경옥"," 의료사업, 교육사업"," 방글라데시"," http://www.asiafocusapab.com/",""
"42"," 아시아협력기구"," 이준"," 예술 및 학술 교류사업, 의료사업, 교육지원"," 카자흐스탄, 몽골, 우즈베키스탄, 베트남 등"," http://www.iacd.or.kr",""
"43"," 아프리카미래재단"," 박상은"," 의료사업"," 말라위, 짐바브웨, 탄자니아"," http://www.africaff.org/",""
"44"," 아프리카어린이돕는모임"," 조정제"," 보건지원, 교육사업, 지역개발사업"," 남아프리카공화국, 스와질란드"," http://www.africafuture.org",""
"45"," 어린이재단"," 이제훈"," 교육사업, 긴급구호"," 가나, 남수단, 앙골라, 시에라리온, 세네갈, 볼리비아, 동티모르 등"," http://www.childfund.or.kr/",""
"46"," 에코피스아시아"," 김원호"," 환경보존사업"," 중국, 몽골"," http://www.ecopeaceasia.org",""
"47"," 엔젤스헤이븐"," 조준호"," 복지사업, 교육사업, 긴급구호지원"," 우간다, 태국, 베트남, 말레이시아"," http://www.angelshaven.or.kr/",""
"48"," 열매나눔인터내셔널"," 오대식"," 농촌자립사업"," 베트남, 말라위, 르완다"," http://www.merryyear.org/",""
"49"," 월드디아코니아"," 오정현"," 재해구호"," 인도네시아"," http://www.koreandiakonia.org/contents/main/main.asp",""
"50"," 월드샤프"," 김재창"," 교육지원, 문화교류 및 지역개발사업"," 인도, 말라위, 미얀마"," http://worldsharp.net",""
"51"," 월드쉐어"," 권태일"," 아동결연, 지역개발사업"," 전 세계 27개국"," http://www.worldshare.or.kr/",""
"52"," 월드투게더"," 김요환"," 교육지원, 보건사업, 의료사업, 긴급구호"," 이라크, 에티오피아, 기니, 케냐, 미얀마, 베트남, 캄보디아, 동티모르, 볼리비아"," http://www.worldtogether.or.kr",""
"53"," 월드휴먼브리지"," 김병삼"," 교육사업, 보건사업"," 볼리비아, 르완다 등"," http://www.whb.or.kr",""
"54"," 웰인터내셔널"," 심호식"," 지역개발사업, 교육사업, 의료사업, 긴급구호"," 캄보디아, 탄자니아, 방글라데시, 몽골, 마다가스카르"," http://www.wellinternational.org/",""
"55"," 위드"," 이일영"," 영양지원사업, 지역개발지원, 교육지원, 긴급구호"," 에티오피아, 몽골, 방글라데시 등"," http://www.iwith.or.kr/",""
"56"," 유니세프한국위원회"," 정갑영"," 보건사업, 의료사업, 교육사업"," 전 세계 190개국"," http://www.unicef.or.kr/",""
"57"," 로즈클럽인터내셔널"," 유인협"," 의료"," 네팔"," http://www.roseclub.or.kr/",""
"58"," 전국재해구호협회"," 송필호"," 아동구호사업, 보건지원, 긴급구호"," 인도네시아, 태국, 베트남, 필리핀 등"," http://www.relief.or.kr",""
"59"," 정해복지"," 강대기"," 교육사업"," 베트남"," http://www.junghae.or.kr/",""
"60"," 지구촌공생회"," 송월주"," 교육사업, 보건지원, 지역개발사업"," 캄보디아, 라오스, 미얀마, 네팔, 몽골, 케냐"," http://www.goodhands.or.kr",""
"61"," 지구촌나눔운동"," 박명광"," 지역개발사업, 소득증대사업, 아동지원사업, 교육사업"," 베트남, 몽골, 미얀마, 동티모르, 르완다, 케냐, 에티오피아"," http://www.gcs.or.kr/",""
"62"," 원불교청수나눔실천회"," 박청수"," 의료사업, 교육사업"," 캄보디아","",""
"63"," 캠프"," 이철용"," 교육지원, 보건사업"," 필리핀"," http://www.icamp.asia",""
"64"," 코피온"," 이배용"," 교육사업, 지역개발지원, 보건사업"," 캄보디아, 네팔, 몽골, 에티오피아"," http://www.copion.or.kr",""
"65"," 태화복지재단"," 이철"," 사회복지사업, 교육사업"," 캄보디아, 라오스"," http://www.taiwhafound.org",""
"66"," 팀앤팀"," 백강수"," 보건사업, 긴급구호"," 수단, 케냐, 소말리아, 인도네시아, 캐나다"," http://www.teamandteam.org",""
"67"," 피스메이커스인터내셔널"," 김영국"," 의료사업, 교육사업"," 네팔, 몽골, 필리핀, 캄보디아"," http://peacemakers.kr/",""
"68"," 푸른아시아"," 손봉호"," 환경보존사업"," 몽골 등"," http://www.simin.org",""
"69"," 프렌드아시아"," 박용철"," 교육사업, 복지시설지원"," 우즈베키스탄, 키르기스스탄"," http://friendasia.or.kr/",""
"70"," 프렌즈"," 김은호"," 아동결연사업, 의료사업, 보건사업"," 페루, 케냐, 미얀마, 인도네시아 등"," http://www.hifriends.or.kr",""
"71"," 플랜한국위원회"," 이상주"," 빈곤퇴치, 보건사업"," 전 세계 50개국"," http://www.plankorea.or.kr",""
"72"," 하나로"," 이일재","","","",""
"73"," 하트하트재단인터내셔널"," 오지철"," 보건"," 방글라데시, 탄자니아, 캄보디아, 부룬디, 필리핀, 태국"," http://www.heart-heart.org",""
"74"," 한국YMCA전국연맹"," 남부원","",""," http://www.ymcakorea.kr/",""
"75"," 한국건강관리협회"," 김인원"," 의료지원, 보건사업"," 중국, 라오스, 몽골, 캄보디아, 수단"," http://www.kahp.or.kr/",""
"61"," 지구촌나눔운동"," 박명광"," 지역개발사업, 소득증대사업, 아동지원사업, 교육사업"," 베트남, 몽골, 미얀마, 동티모르, 르완다, 케냐, 에티오피아"," http://www.gcs.or.kr/",""
"62"," 원불교청수나눔실천회"," 박청수"," 의료사업, 교육사업"," 캄보디아","",""
"63"," 캠프"," 이철용"," 교육지원, 보건사업"," 필리핀"," http://www.icamp.asia",""
"64"," 코피온"," 이배용"," 교육사업, 지역개발지원, 보건사업"," 캄보디아, 네팔, 몽골, 에티오피아"," http://www.copion.or.kr",""
"65"," 태화복지재단"," 이철"," 사회복지사업, 교육사업"," 캄보디아, 라오스"," http://www.taiwhafound.org",""
"66"," 팀앤팀"," 백강수"," 보건사업, 긴급구호"," 수단, 케냐, 소말리아, 인도네시아, 캐나다"," http://www.teamandteam.org",""
"67"," 피스메이커스인터내셔널"," 김영국"," 의료사업, 교육사업"," 네팔, 몽골, 필리핀, 캄보디아"," http://peacemakers.kr/",""
"68"," 푸른아시아"," 손봉호"," 환경보존사업"," 몽골 등"," http://www.simin.org",""
"69"," 프렌드아시아"," 박용철"," 교육사업, 복지시설지원"," 우즈베키스탄, 키르기스스탄"," http://friendasia.or.kr/",""
"70"," 프렌즈"," 김은호"," 아동결연사업, 의료사업, 보건사업"," 페루, 케냐, 미얀마, 인도네시아 등"," http://www.hifriends.or.kr",""
"71"," 플랜한국위원회"," 이상주"," 빈곤퇴치, 보건사업"," 전 세계 50개국"," http://www.plankorea.or.kr",""
"72"," 하나로"," 이일재","","","",""
"73"," 하트하트재단인터내셔널"," 오지철"," 보건"," 방글라데시, 탄자니아, 캄보디아, 부룬디, 필리핀, 태국"," http://www.heart-heart.org",""
"74"," 한국YMCA전국연맹"," 남부원","",""," http://www.ymcakorea.kr/",""
"75"," 한국건강관리협회"," 김인원"," 의료지원, 보건사업"," 중국, 라오스, 몽골, 캄보디아, 수단"," http://www.kahp.or.kr/",""
"76"," 한국국제기아대책기구"," 유원식"," 교육사업, 환경개선사업, 의료지원"," 전 세계 38개국"," http://www.kfhi.or.kr/",""
"77"," 한국국제봉사기구"," 박을남"," 식량공급, 의료사업, 교육사업"," 볼리비아, 에티오피아, 케냐, 콩고민주공화국, 가나, 베트남 등"," http://www.kvo.or.kr/",""
"78"," 한국헬프에이지"," 조현세"," 노인복지사업"," 캄보디아, 미얀마, 베트남, 라오스 등"," http://www.helpage.or.kr",""
"79"," 월드비전"," 조명환"," 지역재건사업, 보건사업"," 소말리아","아프가니스탄, 수단, 아이티, 파키스탄, 우간다 등"," http://www.worldvision.or.kr/"
"80"," 한국제이티에스(JTS)"," 김기진"," 교육사업, 의료사업"," 인도, 필리핀"," http://www.jts.or.kr",""
"81"," 한국천주교살레시오회"," 남상헌","",""," http://www.ibosco.net/",""
"82"," 한국카리타스인터내셔널"," 김운회"," 국제옹호활동, 구호 및 개발 사업"," 에콰도르, 과테말라, 미얀마, 태국, 케냐, 에티오피아, 파키스탄, 아이티 등"," http://www.caritas.or.kr/",""
"83"," 한국해외봉사단원연합회(KOVA)"," 유명선"," 보건사업, 봉사사업"," 인도네시아, 파키스탄, 라오스 등"," http://www.kova.org",""
"84"," 한국희망재단"," 최기식"," 교육사업, 보건사업, 환경보존사업"," 인도, 방글라데시, 필리핀, 짐바브웨, 탄자니아, 캄보디아, 몽골"," http://www.hope365.org",""
"85"," 한끼의식사기금"," 윤경일"," 식량지원, 교육지원, 의료지원, 지역개발사업, 긴급구호"," 방글라데시, 캄보디아, 짐바브웨, 미얀마, 네팔, 에티오피아"," http://www.samsal.org",""
"86"," 한마음한몸운동본부"," 유경촌"," 교육사업, 의료사업"," 케냐, 파키스탄, 방글라데시, 몽골, 캄보디아, 아이티 등"," http://www.obos.or.kr",""
"87"," 한코리아"," 이민우"," 교육지원, 보건의료, 지역개발"," 캄보디아, 인도네시아, 베트남, 네팔, 미얀마, 탄자니아"," http://www.hankorea.or.kr/",""
"88"," 한베문화교류센터"," 심상준"," 지역개발사업, 교육사업, 문화교류"," 베트남"," http://www.koviculture.net/",""
"89"," 한울안운동"," 한지현"," 보건지원, 문화교류"," 케냐, 베트남, 인도, 캄보디아 등"," http://www.hanuran.or.kr",""
"90"," 함께일하는재단"," 송월주","","","http://www.hamkke.org",""
"91"," 호산나"," 윤창용","","","",""
"92"," 홀트아동복지회"," 김호현"," 아동 보호 및 교육사업, 가정 및 자립지원, 교육환경개선, 아동결연"," 캄보디아, 몽골, 네팔, 탄자니아"," http://www.holt.or.kr",""
"93"," 환경재단"," 최열"," 보건사업"," 캄보디아 등"," http://greenfund.org/",""
"94"," 인구보건복지협회"," 김창순"," 인구, 모자보건, 성생식 보건 지원사업"," 몽골, 탄자니아, 가나, 에티오피아"," http://www.ppfk.or.kr/",""
"95"," 기쁨나눔재단"," 정제천"," 교육지원"," 캄보디아, 부탄, 아시아, 국내, 아프리카, 남미 등"," https://www.gpnanum.or.kr",""
"96"," 더나은세상"," 염진수"," 단기봉사파견, 세계시민교육"," 필리핀, 인도 등"," http://www.1.or.kr",""
"97"," 돕는사람들"," 박중식"," 1:1 결연, 교육지원"," 네팔, 남아공 등"," http://www.goodhelpers.or.kr",""
"98"," 서울국제친선협회"," 이순주"," 취약계층 여성직업학교"," 필리핀, 베트남"," http://www.seoulfriend.org",""
"99"," 글로벌발전연구원"," 이태주"," 연구, 식수위생환경개선사업"," 에티오피아, 캄보디아"," http://redi.re.kr/",""
"100"," 아시안프렌즈"," 이남숙"," 아동교육, 영양지원, 나눔여행"," 몽골, 인도, 베트남, 미얀마"," http://asianfriends.wix.com/asianfriends",""
